path	line	enum	variant	field_count	named_count	unnamed_count
tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	10	Payload	Item	1	0	1
tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	2	PairResult	Pair	2	0	2
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	9	Outcome	Unit	2	0	2
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	10	Outcome	Echo	3	0	3
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	11	Outcome	State	3	0	3
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	12	Outcome	Failed	1	0	1
tests/aot/filetests/cgen/enum_domain_scalar_no_names.xr	9	PacketShape	DataToken	1	1	0
tests/aot/filetests/cgen/map_get_payload_enum_direct_return.xr	3	Item	Number	1	0	1
tests/aot/filetests/link/core_language_runtime_boundary.xr	2	LangErr	Msg	1	1	0
tests/aot/filetests/link/freestanding_enum_payload_error_channel.xr	2	FsErr	Bad	1	0	1
tests/aot/filetests/link/freestanding_enum_payload_untyped_catch_reject.xr	2	FsErr	Bad	1	0	1
tests/aot/filetests/link/freestanding_enum_payload_value.xr	2	FastResult	Ok	1	0	1
tests/aot/filetests/link/freestanding_enum_payload_value.xr	3	FastResult	Err	1	0	1
tests/aot/filetests/link/no_alloc_enum_descriptor_erasure_reject.xr	8	NoAllocState	Busy	1	0	1
tests/aot/modules/enum_payload_import_dep.xr	3	SharedError	Invalid	1	0	1
tests/aot/modules/enum_payload_import_dep.xr	9	SharedResult	Ok	1	0	1
tests/aot/modules/enum_payload_import_dep.xr	10	SharedResult	Err	1	0	1
tests/aot/modules/enum_payload_import_dep.xr	14	MirroredResult	Ok	1	0	1
tests/aot/modules/enum_payload_import_dep.xr	15	MirroredResult	Err	1	0	1
tests/aot/modules/enum_result_lib.xr	4	FastResult	Ok	1	0	1
tests/aot/modules/enum_result_lib.xr	5	FastResult	Err	1	0	1
tests/aot/modules/enum_static_domain_lib.xr	9	ExportEvent	Data	1	1	0
tests/aot/modules/reexport_enum_error_lib.xr	2	ReexportError	Invalid	2	0	2
tests/aot/negative/coro_try_catch.xr	2	AppErr	Bad	1	1	0
tests/builtin_probes/enumpayloadfield.xr	1	Shape	Seg	2	2	0
tests/builtin_probes/enumpayloads.xr	1	Shape	Seg	2	2	0
tests/builtin_probes/error.xr	1	ProbeErr	Failed	1	0	1
tests/compile_errors/ownership/187_match_rejects_unknown_generic_variant.xr	3	Box	Full	1	0	1
tests/compile_errors/type/054_enum_for_in_removed.xr	2	Result	Ok	1	1	0
tests/compile_errors/type/054_enum_for_in_removed.xr	3	Result	Error	1	1	0
tests/compile_errors/type/094_enum_recursive_payload_rejected.xr	2	Expr	Number	1	0	1
tests/compile_errors/type/094_enum_recursive_payload_rejected.xr	3	Expr	Binary	2	2	0
tests/compile_errors/type/095_enum_generic_recursive_payload_rejected.xr	3	List	Cons	2	0	2
tests/compile_errors/type/096_enum_payload_constructor_not_value.xr	2	Result	Ok	1	0	1
tests/compile_errors/type/096_enum_payload_constructor_not_value.xr	3	Result	Err	1	0	1
tests/compile_errors/type/097_enum_payload_constructor_arg_type.xr	2	Result	Ok	1	0	1
tests/compile_errors/type/097_enum_payload_constructor_arg_type.xr	3	Result	Err	1	0	1
tests/compile_errors/type/136_enum_descriptor_construct_removed.xr	2	Option	Some	1	1	0
tests/compile_errors/type/span_enum_payload_escape.xr	2	Hold	Slice	1	0	1
tests/coroutine_safety/11_monitoring_debug.xr	11	MonDebugErr	Msg	1	0	1
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	12	Shape	Circle	1	0	1
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	13	Shape	Square	1	0	1
tests/diff/cases/match/adt_enum_payload_tostring.xr	11	E	A	1	0	1
tests/diff/cases/match/adt_enum_payload_tostring.xr	12	P	Pair	2	0	2
tests/diff/cases/match/adt_enum_payload_tostring.xr	13	W	Wrap	1	0	1
tests/diff/cases/semantics/cleanup/defer_block_scope_exits.xr	7	BlockErr	Msg	1	1	0
tests/diff/cases/semantics/cleanup/defer_error_absorbed_inside_body.xr	6	CleanupErr	Failed	1	1	0
tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	E	A	1	0	1
tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	E	B	1	0	1
tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	K	Id	1	0	1
tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	K	Name	1	0	1
tests/diff/cases/semantics/coro/coroutine_throws_unit_variant.xr	14	E2	Code	1	0	1
tests/diff/cases/semantics/coro/scope_child_failure_isolation.xr	1	DiffScopeErr	Msg	1	0	1
tests/diff/cases/semantics/coro/task_result_failed_error_value.xr	1	TaskResultErr	Msg	1	0	1
tests/diff/cases/semantics/exception/array_class_throw_cleanup_lifetime.xr	3	ParseError	Invalid	1	0	1
tests/diff/cases/semantics/exception/nested_defer.xr	5	AppErr	Msg	1	1	0
tests/diff/cases/semantics/exception/pattern_catch.xr	5	PayloadErr	Payload	1	1	0
tests/diff/cases/semantics/exception/try_catch.xr	3	AppErr	Msg	1	1	0
tests/diff/cases/semantics/exception/uncaught_top_level_error.xr	7	TopErr	Failed	1	1	0
tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	8	GenErr	Msg	1	1	0
tests/diff/cases/semantics/generator/yield_throw.xr	2	GenErr	Msg	1	1	0
tests/diff/cases/semantics/int/enum_ordinal_conversion.xr	8	BoxedOrdinal	Payload	1	0	1
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	29	Node	Document	1	0	1
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	30	Node	Element	3	0	3
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	31	Node	Text	1	0	1
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	14	Node	Leaf	1	0	1
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	15	Node	Branch	1	0	1
tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	12	E	Num	1	0	1
tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	13	E	Pair	2	0	2
tests/diff/cases/semantics/oop/enum_nullable_materialize.xr	16	E	A	1	0	1
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	44	Shape	Boxed	1	1	0
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	45	Shape	Point	1	1	0
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	72	Expr	Num	1	1	0
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	73	Expr	Add	2	2	0
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	74	Expr	Mul	2	2	0
tests/diff/cases/semantics/types/enum_type_name.xr	14	Shape	Circle	1	0	1
tests/regression/08_error_handling/0830_throw_catch_value_return.xr	4	AppErr	NotFound	1	0	1
tests/regression/08_error_handling/modules/error_source.xr	4	ValidationErr	TooLong	1	0	1
tests/regression/09_advanced/0901_adt_enum.xr	12	Shape	Circle	1	0	1
tests/regression/09_advanced/0901_adt_enum.xr	13	Shape	Square	1	0	1
tests/regression/09_advanced/0901_adt_enum.xr	19	Tree	Leaf	1	0	1
tests/regression/09_advanced/0901_adt_enum.xr	20	Tree	Branch	1	0	1
tests/regression/09_advanced/0950_exception.xr	26	AppErr	Msg	1	1	0
tests/regression/09_advanced/0952_exception_constructor.xr	6	TestErr	Msg	1	1	0
tests/regression/09_advanced/0952_exception_constructor.xr	7	TestErr	Wrapped	2	2	0
tests/regression/09_advanced/0953_typed_multi_catch.xr	6	CatchErr	Msg	1	0	1
tests/regression/09_advanced/0953_typed_multi_catch.xr	7	OtherErr	Msg	1	0	1
tests/regression/09_advanced/0958_try_optional.xr	6	OptErr	Msg	1	0	1
tests/regression/09_advanced/0959_try_force.xr	7	ForceErr	Msg	1	0	1
tests/regression/09_advanced/0960_enum_static_iteration_metadata.xr	13	WireEvent	Data	2	2	0
tests/regression/09_advanced/0960_enum_static_iteration_metadata.xr	14	WireEvent	Error	1	1	0
tests/regression/09_advanced/0960_enum_static_iteration_metadata.xr	18	GenericResult	Ok	1	1	0
tests/regression/09_advanced/0960_enum_static_iteration_metadata.xr	19	GenericResult	Error	1	1	0
tests/regression/09_advanced/0960_enum_static_iteration_metadata.xr	24	PositionalPayload	Pair	2	0	2
tests/regression/09_advanced/0961_enum_static_iteration_control_flow.xr	12	Event	Data	1	1	0
tests/regression/09_advanced/0961_enum_static_iteration_control_flow.xr	13	Event	Error	1	1	0
tests/regression/10_stdlib/modules/generic_result_lib.xr	6	Result	Ok	1	0	1
tests/regression/10_stdlib/modules/generic_result_lib.xr	7	Result	Err	1	0	1
tests/regression/11_coroutine/1130_linked_scope.xr	9	WorkerErr	Failed	1	1	0
tests/regression/11_coroutine/1132_task_monitor.xr	3	MonitorErr	Msg	1	0	1
tests/regression/11_coroutine/1134_linked_go_propagation.xr	3	LinkErr	Msg	1	0	1
tests/regression/11_coroutine/1135_scope_child_errors.xr	6	SvErr	Msg	1	0	1
tests/regression/11_coroutine/1136_task_link.xr	5	LinkErr	Msg	1	0	1
tests/regression/11_coroutine/1137_await_any_success.xr	6	CoroErr	Msg	1	0	1
tests/regression/11_coroutine/1143_syscall_handoff.xr	11	HandoffErr	Failed	1	0	1
tests/regression/11_coroutine/1145_coro_error_patterns.xr	29	CoroErr	Msg	1	0	1
tests/regression/11_coroutine/1148_scope_race_stress.xr	7	RaceErr	Msg	1	0	1
tests/regression/11_coroutine/1172_enum_descriptor_erased_transfer.xr	8	TransferState	Busy	1	0	1
tests/regression/13_types/0400_generic_where_clause.xr	34	Wrap	One	1	0	1
