path	line	enum	variant	role	declaration_path	declaration_line	resolution
tests/diff/cases/semantics/exception/pattern_catch.xr	26	PayloadErr	Payload	pattern-catch	tests/diff/cases/semantics/exception/pattern_catch.xr	5	same-module
tests/diff/cases/semantics/exception/try_catch.xr	17	AppErr	Msg	pattern-direct	tests/diff/cases/semantics/exception/try_catch.xr	3	same-module
tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	38	GenErr	Msg	pattern-direct	tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	8	same-module
tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	48	GenErr	Msg	pattern-direct	tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	8	same-module
tests/diff/cases/semantics/generator/yield_throw.xr	19	GenErr	Msg	pattern-direct	tests/diff/cases/semantics/generator/yield_throw.xr	2	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	36	Node	Element	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	30	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	37	Node	Text	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	31	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	38	Node	Document	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	29	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	44	Node	Document	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	29	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	45	Node	Element	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	30	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	46	Node	Text	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	31	same-module
tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	52	Node	Element	pattern-direct	tests/diff/cases/semantics/oop/enum_class_payload_aggregate.xr	30	same-module
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	31	Node	Leaf	pattern-direct	tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	14	same-module
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	32	Node	Branch	pattern-direct	tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	15	same-module
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	47	Node	Branch	pattern-direct	tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	15	same-module
tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	47	Node	Leaf	pattern-direct	tests/diff/cases/semantics/oop/enum_dynamic_read_aggregate.xr	14	same-module
tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	18	E	Num	pattern-direct	tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	12	same-module
tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	19	E	Pair	pattern-direct	tests/diff/cases/semantics/oop/enum_namespace_ctor_with_nullable.xr	13	same-module
tests/diff/cases/semantics/oop/enum_nullable_materialize.xr	34	E	A	pattern-direct	tests/diff/cases/semantics/oop/enum_nullable_materialize.xr	16	same-module
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	51	Shape	Boxed	pattern-direct	tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	44	same-module
