tree	path	start_codepoint	end_codepoint	line	receiver	variant	role	disposition	declaration_path	declaration_line	enum	resolution	review	evidence	source_sha256
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/cluster/cluster.xr	7109	7142	190	AddressError	InvalidPort	constructor	ACCEPT	stdlib/cluster/cluster.xr	118	AddressError	same-module	reviewed	payload declaration stdlib/cluster/cluster.xr:118	7743e718b981d84db5f728ad962cf546e6ae6e1a51561decc395d5db3688194e
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	1721	1744	78	CsvDelimiter	Exact	constructor	ACCEPT	stdlib/csv/csv.xr	9	CsvDelimiter	same-module	reviewed	payload declaration stdlib/csv/csv.xr:9	907276a0e304707d6118b15fad7d2734a8b35b53cedaf66d527db953e5ba1e28
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	4083	4158	171	CsvError	InvalidOption	constructor	ACCEPT	stdlib/csv/csv.xr	45	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:45	86ac5ffc3d00aa2fbeb9a012e69d6a7221e9627669bcf745e29db46b1892ff05
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	4285	4346	177	CsvError	InvalidOption	constructor	ACCEPT	stdlib/csv/csv.xr	45	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:45	48c95fca0f62e0a16b83b37f916eb05e4399d262004b05a50c23355f6f04b3de
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	4406	4459	180	CsvError	InvalidOption	constructor	ACCEPT	stdlib/csv/csv.xr	45	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:45	61d652da40107ff8f5684b8818eac7821a59911f5d605d4336d4bf08b378b315
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	5957	5982	234	CsvDelimiter	Exact	pattern-direct	ACCEPT	stdlib/csv/csv.xr	9	CsvDelimiter	same-module	reviewed	payload declaration stdlib/csv/csv.xr:9	d0203841d9d308de6262a3b62bd51456d6abe9b165fbfd6d79bd0a363b614c5b
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	6154	6215	238	CsvError	InvalidOption	constructor	ACCEPT	stdlib/csv/csv.xr	45	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:45	48c95fca0f62e0a16b83b37f916eb05e4399d262004b05a50c23355f6f04b3de
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	6374	6400	246	CsvHeader	Explicit	pattern-direct	ACCEPT	stdlib/csv/csv.xr	16	CsvHeader	same-module	reviewed	payload declaration stdlib/csv/csv.xr:16	655e95c04215b052b9f00f02a33fb5134139573c155cd9400b00dce9858adaad
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	7191	7241	275	CsvError	FieldLimitExceeded	constructor	ACCEPT	stdlib/csv/csv.xr	47	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:47	22a6d23f2850be7607f55f75b04ec69de1e6d379b39f123dd0093ba355967e81
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	8156	8204	303	CsvError	ColumnLimitExceeded	constructor	ACCEPT	stdlib/csv/csv.xr	48	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:48	e1a896c47766e4d01d7215c201165cb837143aef2d4554d4cb0d0e46bef8ec85
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	10885	10935	396	CsvError	InputLimitExceeded	constructor	ACCEPT	stdlib/csv/csv.xr	46	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:46	a67d2645c8d95af203928fc6ae77502049c8c5cb88bfdc384ff2e0f86cc091d2
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	16270	16428	530	CsvError	UnterminatedQuote	constructor	ACCEPT	stdlib/csv/csv.xr	49	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:49	f8b563ca34df4adb837c19c332f766d725a82ca018f9ef3fc90f1a78e91671ed
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	16506	16660	536	CsvError	InvalidEscape	constructor	ACCEPT	stdlib/csv/csv.xr	50	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:50	156cd7062d3117cc8b03115ce868d5e2fc2361bb26f7e71572eeaceab073a9c0
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/csv/csv.xr	16677	16824	541	CsvError	FieldCountMismatch	constructor	ACCEPT	stdlib/csv/csv.xr	51	CsvError	same-module	reviewed	payload declaration stdlib/csv/csv.xr:51	aa3733e5109aacaaa41590191a22f78e0d51ec9e34f4da6e5dcca92fc412ee62
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	1219	1240	39	HexError	OddLength	constructor	ACCEPT	stdlib/encoding/encoding.xr	12	HexError	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:12	ab6e781d041a76f73d924b3e22b8fa8edc299e626f811e6802a4b023037b5cbd
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	1391	1423	45	HexError	InvalidDigit	constructor	ACCEPT	stdlib/encoding/encoding.xr	13	HexError	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:13	1c8796ffde65ac9379d7d362867b0f2f98e46644a2740e518d30d1ae27fe4336
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	1498	1538	47	HexError	InvalidDigit	constructor	ACCEPT	stdlib/encoding/encoding.xr	13	HexError	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:13	1b1bcf0fa94c5e3fffb5c9c70c099becf6899a8769946d85eb524b9666489ef3
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	7569	7596	235	Utf16Error	OddByteLength	constructor	ACCEPT	stdlib/encoding/encoding.xr	127	Utf16Error	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:127	4682cb709ded351e77d7b88d096b8a66f7c5a06dbe531a9af8f7a4aa46a9d270
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	8283	8331	260	Utf16Error	UnexpectedLowSurrogate	constructor	ACCEPT	stdlib/encoding/encoding.xr	128	Utf16Error	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:128	3663f43cf9fc120197b8703ce027b2432b0354f07079d089066f3b7a1e577954
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	8420	8465	263	Utf16Error	MissingLowSurrogate	constructor	ACCEPT	stdlib/encoding/encoding.xr	129	Utf16Error	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:129	c4c5afe5da7e62b800aef8ba09328c02d70806224ef2ded5b2d41b00bc3994cf
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/encoding/encoding.xr	8716	8753	270	Utf16Error	InvalidLowSurrogate	constructor	ACCEPT	stdlib/encoding/encoding.xr	130	Utf16Error	same-module	reviewed	payload declaration stdlib/encoding/encoding.xr:130	ba16096fc89d341b16e22e602606d16ff2dd1dfbc36fa3c8744009c728ee1e27
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	41095	41125	1266	HttpError	InvalidMethod	constructor	ACCEPT	stdlib/http/http.xr	1244	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1244	55aa208846df15723c38a4d0ec0d9d2f69479e6dc96c5dacbf933b2aa22ec11b
